bgp1990gj,tr2010gj,tr2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G250001003635036950122109999999999911,G2500010012200,25001012200,1.0,1.0,1.0,1.0
G250001003635036950122109999999999912,G2500010012200,25001012200,1.0,1.0,1.0,1.0
G250001003635036950122109999999999913,G2500010011801,25001011801,0.0005500537,0.0002463352,0.0008760343,0.0005240228
G250001003635036950122109999999999913,G2500010012200,25001012200,0.9994499463,0.9997536648,0.9991239657,0.9994759772
G250001003635036950122109999999999914,G2500010011802,25001011802,7.69965e-05,5.3322e-06,0.0001892212,0.0001604644
G250001003635036950122109999999999914,G2500010012200,25001012200,0.9999230035,0.9999946678,0.9998107788,0.9998395356
G250001003635120850123109999999345511,G2500010012101,25001012101,0.0,0.0,0.0,0.0
G250001003635120850123109999999345511,G2500010015300,25001015300,1.0,1.0,1.0,1.0
G250001003635120850126109999999345511,G2500010012601,25001012601,1.0,1.0,1.0,1.0
G250001003635120850126109999999345512,G2500010012601,25001012601,1.0,1.0,1.0,1.0
G250001003635120850127109999999345511,G2500010012700,25001012700,1.0,1.0,1.0,1.0
G250001003635120850127109999999345512,G2500010012700,25001012700,1.0,1.0,1.0,1.0
G250001003635120850127109999999345513,G2500010012700,25001012700,1.0,1.0,1.0,1.0
G250001003635120850127109999999345513,G2500010990000,25001990000,0.0,0.0,0.0,0.0
G250001003635120850127109999999345514,G2500010012700,25001012700,1.0,1.0,1.0,1.0
G250001003635120850127109999999345516,G2500010012502,25001012502,0.0,0.0,0.0,0.0
G250001003635120850127109999999345516,G2500010012700,25001012700,1.0,1.0,1.0,1.0
G250001003635120850127109999999345516,G2500010990000,25001990000,0.0,0.0,0.0,0.0
G250001003635120850128109999999345511,G2500010012800,25001012800,1.0,1.0,1.0,1.0
G250001003635120850128109999999345512,G2500010012800,25001012800,1.0,1.0,1.0,1.0
G250001003635120850129109999999345512,G2500010012900,25001012900,1.0,1.0,1.0,1.0
G250001003635120850129109999999345513,G2500010012900,25001012900,1.0,1.0,1.0,1.0
G250001003635155150132109999999999921,G2500010013200,25001013200,1.0,1.0,1.0,1.0
G250001003635155150132109999999999921,G2500010015200,25001015200,0.0,0.0,0.0,0.0
G250001003635155150132109999999999922,G2500010013200,25001013200,0.9997971079,0.9997725149,0.9997895934,0.9997469258
G250001003635155150132109999999999922,G2500010015001,25001015001,6.203e-07,6.955e-07,6.433e-07,7.737e-07
G250001003635155150132109999999999922,G2500010015100,25001015100,0.0002022718,0.0002267896,0.0002097634,0.0002523005
G250001003635155150132109999999999923,G2500010013200,25001013200,1.0,1.0,1.0,1.0
G250001003635318200123109999999345511,G2500010012101,25001012101,0.0280936118,0.0434552871,0.024911119,0.0348098748
G250001003635318200123109999999345511,G2500010012102,25001012102,5.2791e-06,1.19516e-05,5.3889e-06,2.93566e-05
G250001003635318200123109999999345511,G2500010015300,25001015300,0.971901109,0.9565327613,0.9750834921,0.9651607686
G250001003635318200124109999999345511,G2500010012102,25001012102,8.56451e-05,7.43079e-05,7.27664e-05,6.71256e-05
G250001003635318200124109999999345511,G2500010015300,25001015300,0.9999143549,0.9999256921,0.9999272336,0.9999328744
G250001003635318200124109999999345512,G2500010012102,25001012102,0.002743992,0.0041246202,0.002538664,0.0021268136
G250001003635318200124109999999345512,G2500010015300,25001015300,0.997256008,0.9958753798,0.997461336,0.9978731864
G250001003635318200125109999999345511,G2500010012502,25001012502,1.0,1.0,1.0,1.0
G250001003635318200125109999999345512,G2500010012502,25001012502,1.0,1.0,1.0,1.0
G250001003635318200125109999999345513,G2500010012502,25001012502,1.0,1.0,1.0,1.0
G250001003635318200125109999999345514,G2500010012502,25001012502,1.0,1.0,1.0,1.0
G250001003635318200125109999999345515,G2500010012502,25001012502,1.0,1.0,1.0,1.0
G250001003635318200125109999999345515,G2500010990000,25001990000,0.0,0.0,0.0,0.0
G250001003635318200126109999999345511,G2500010012601,25001012601,1.0,1.0,1.0,1.0
G250001003635318200126109999999345512,G2500010012601,25001012601,0.271009772,0.2819277108,0.2550231839,0.262195122
G250001003635318200126109999999345512,G2500010012602,25001012602,0.728990228,0.7180722892,0.7449768161,0.737804878
