bgp2000gj,tr2010gj,tr2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G25000100000099999000000R0,G2500010010206,25001010206,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010010208,25001010208,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010010400,25001010400,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010010600,25001010600,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010010700,25001010700,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010010800,25001010800,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010010900,25001010900,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010011300,25001011300,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010011400,25001011400,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010011600,25001011600,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010011700,25001011700,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010011801,25001011801,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010012200,25001012200,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010013002,25001013002,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010013200,25001013200,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010013300,25001013300,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010013400,25001013400,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010013800,25001013800,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010014500,25001014500,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010014600,25001014600,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010014700,25001014700,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010014800,25001014800,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010014900,25001014900,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010015200,25001015200,0.0,0.0,0.0,0.0
G25000100000099999000000R0,G2500010990000,25001990000,0.0,0.0,0.0,0.0
G25000100360003600012200R1,G2500010012200,25001012200,1.0,1.0,1.0,1.0
G25000100360003600012200R2,G2500010012200,25001012200,1.0,1.0,1.0,1.0
G25000100360003600012200R3,G2500010011801,25001011801,0.0,0.0,0.0,0.0
G25000100360003600012200R3,G2500010012200,25001012200,0.0,0.0,0.0,0.0
G25000100360003600012200U1,G2500010012200,25001012200,1.0,1.0,1.0,1.0
G25000100360003600012200U2,G2500010012200,25001012200,1.0,1.0,1.0,1.0
G25000100360003600012200U3,G2500010011801,25001011801,0.0003560776,0.0003477788,0.0002814633,0.0002254733
G25000100360003600012200U3,G2500010012200,25001012200,0.9996439224,0.9996522212,0.9997185367,0.9997745267
G25000100360003600012200U4,G2500010011802,25001011802,7.97908e-05,6.41875e-05,7.47609e-05,6.77379e-05
G25000100360003600012200U4,G2500010012200,25001012200,0.9999202092,0.9999358125,0.9999252391,0.9999322621
G25000100360003600012300U1,G2500010012101,25001012101,0.0190697575,0.0192221292,0.0239045013,0.0486658158
G25000100360003600012300U1,G2500010012102,25001012102,6.9334e-06,8.0159e-06,8.2861e-06,2.08912e-05
G25000100360003600012300U1,G2500010015300,25001015300,0.9809233091,0.9807698549,0.9760872126,0.9513132929
G25000100360003600012400R2,G2500010015300,25001015300,0.0,0.0,0.0,0.0
G25000100360003600012400U1,G2500010012102,25001012102,0.0001051368,6.10445e-05,6.27165e-05,6.2838e-05
