Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_B01001_001,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14001A_001,SE_A14001A_002,SE_A14001A_003,SE_A14001A_004,SE_A14001A_005,SE_A14001A_006,SE_A14001A_007,SE_A14001A_008,SE_A14001A_009,SE_A14001A_010,SE_A14001A_011,SE_A14001A_012,SE_A14001A_013,SE_A14001A_014,SE_A14001A_015,SE_A14001A_016,SE_A14001B_001,SE_A14001B_002,SE_A14001B_003,SE_A14001B_004,SE_A14001B_005,SE_A14001B_006,SE_A14001B_007,SE_A14001B_008,SE_A14001B_009,SE_A14001B_010,SE_A14001B_011,SE_A14001B_012,SE_A14001B_013,SE_A14001B_014,SE_A14001B_015,SE_A14001B_016,SE_A14006_001,SE_A14024_001,SE_A14024I_001,SE_A14024D_001,SE_A14024H_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A18009_001,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
250173531001,15000US250173531001,"Block Group 1, Census Tract 3531, Middlesex County, Massachusetts","Block Group 1, Census Tract 3531, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007233,,,,,25,017,,,,353100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,872,4714.289,0.184969582870654,0.3639407,0.1849696,0.1789711,872,81,581,176,34,872,505,4,0,363,0,0,0,409,34,48,62,82,112,146,168,168,168,183,222,267,274,290,339,409,375,360,347,327,296,262,241,241,241,226,186,142,134,119,69,64993,54511.855964467,84516.6053299492,19105.6694162437,3520.36484771574,409,0,409,2018,802,99,253,352,450,872,846,479,4,0,363,0,0,0,26,26,0,0,0,0,0,0,409,34,15,13,20,31,34,22,0,0,15,39,45,7,15,50,69
250173531002,15000US250173531002,"Block Group 2, Census Tract 3531, Middlesex County, Massachusetts","Block Group 2, Census Tract 3531, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007234,,,,,25,017,,,,353100,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205,1205,17045.54,0.0706929916277604,0.07069299,0.07069299,0,1205,112,801,242,50,1205,650,381,0,134,0,20,20,392,22,37,58,79,80,80,96,133,150,164,192,240,300,328,370,392,370,354,334,313,312,312,296,259,242,228,200,151,91,63,22,82653,31498.4676395939,35215.0412436548,30832.6237309645,36953.0710659898,392,58,334,2025,1019,148,80,228,791,1205,1003,532,337,0,134,0,0,0,202,118,44,0,0,0,20,20,392,22,16,21,21,2,0,16,37,17,14,28,49,60,28,42,22
250173531003,15000US250173531003,"Block Group 3, Census Tract 3531, Middlesex County, Massachusetts","Block Group 3, Census Tract 3531, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007235,,,,,25,017,,,,353100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,1479,22513.03,0.0656952850746799,0.06569529,0.06569529,0,1479,63,1060,319,37,1479,1094,68,16,154,0,128,19,579,40,52,57,65,94,115,140,176,191,240,288,384,404,478,534,579,539,527,522,513,485,464,438,403,388,338,291,195,174,100,45,66339,38150.5774111675,38479.7017766497,49486.3800761421,31792.1478426396,579,35,544,2038,1196,137,75,212,984,1479,1222,1017,51,0,154,0,0,0,257,77,17,16,0,0,128,19,579,39,13,5,9,28,21,25,36,15,49,47,96,21,74,55,45
250173531004,15000US250173531004,"Block Group 4, Census Tract 3531, Middlesex County, Massachusetts","Block Group 4, Census Tract 3531, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007236,,,,,25,017,,,,353100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2040,2040,10963.8,0.186066885251978,0.2860866,0.1860669,0.1000198,2040,149,1826,65,0,2040,934,17,0,1040,0,30,19,246,8,10,11,18,65,108,145,174,180,181,210,231,237,244,246,246,238,236,235,228,180,137,101,72,66,65,36,15,9,2,0,36958,15232.1288071066,13968.7975888325,17065.0983502538,6236.90672588832,246,0,246,1615,703,156,407,563,140,2040,1958,901,17,0,1040,0,0,0,82,33,0,0,0,0,30,19,246,8,2,1,6,48,43,36,29,6,1,29,22,6,7,2,0
250173532001,15000US250173532001,"Block Group 1, Census Tract 3532, Middlesex County, Massachusetts","Block Group 1, Census Tract 3532, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007237,,,,,25,017,,,,353200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517,1517,18873.15,0.0803787507895789,0.08037875,0.08037875,0,1517,220,810,357,130,1517,828,330,0,146,0,127,86,757,69,101,132,166,183,189,203,241,299,405,457,545,624,646,663,757,687,656,624,591,573,568,554,515,457,352,299,211,132,111,93,55845,46295.1395939086,69292.0717005076,32651.6687817259,18205.6408629442,757,177,580,2533,1517,410,155,565,952,1517,1368,807,330,0,146,0,8,77,149,21,0,0,0,0,119,9,757,68,33,31,33,18,6,14,38,58,106,52,88,79,22,17,94
250173532002,15000US250173532002,"Block Group 2, Census Tract 3532, Middlesex County, Massachusetts","Block Group 2, Census Tract 3532, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007238,,,,,25,017,,,,353200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,671,11367.17,0.0590296171256392,0.05902962,0.05902962,0,671,85,210,317,59,671,426,148,0,86,0,0,11,409,9,16,33,68,70,84,109,138,146,159,197,225,309,335,349,409,400,392,376,341,339,325,300,271,263,250,212,183,99,73,60,93516,63089.3432741117,57637.2715736041,105060.295050761,,409,176,233,1660,671,22,71,93,578,671,671,426,148,0,86,0,0,11,0,0,0,0,0,0,0,0,409,9,8,16,35,3,14,25,29,8,13,38,28,84,27,14,60
250173532003,15000US250173532003,"Block Group 3, Census Tract 3532, Middlesex County, Massachusetts","Block Group 3, Census Tract 3532, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007239,,,,,25,017,,,,353200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,1290,20864.56,0.0618273134856223,0.06278137,0.06182731,0.0009540585,1290,199,649,375,67,1290,1112,9,0,109,0,0,60,515,6,8,8,8,8,8,15,32,32,88,107,174,249,330,419,515,509,507,507,507,507,507,499,483,483,427,408,340,265,184,95,130740,55966.3324873096,59681.6402284264,32114.942893401,66418.5628172589,515,268,247,2077,1171,33,8,41,1130,1290,1229,1080,9,0,109,0,0,31,61,32,0,0,0,0,0,29,515,6,2,0,0,0,0,7,17,0,56,19,67,75,81,89,96
250173533001,15000US250173533001,"Block Group 1, Census Tract 3533, Middlesex County, Massachusetts","Block Group 1, Census Tract 3533, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007240,,,,,25,017,,,,353300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705,1705,45485.19,0.0374847296589791,0.03748473,0.03748473,0,1705,186,440,890,189,1705,1374,86,0,131,0,58,56,610,50,67,78,97,130,142,149,167,178,180,196,262,311,403,538,610,560,543,531,513,479,468,460,442,431,430,414,347,298,205,72,122543,47742.0209390863,51240.8661167513,61422.2017766497,34336.5323604061,610,229,381,2036,1705,220,187,407,1298,1705,1573,1320,42,0,131,0,24,56,132,54,44,0,0,0,34,0,610,49,18,11,18,34,12,7,18,11,2,16,67,49,92,135,72
250173533002,15000US250173533002,"Block Group 2, Census Tract 3533, Middlesex County, Massachusetts","Block Group 2, Census Tract 3533, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007241,,,,,25,017,,,,353300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649,1649,33326.23,0.0494805381337674,0.04948054,0.04948054,0,1649,111,910,558,70,1649,1027,167,0,146,0,253,56,666,36,50,60,69,77,91,118,154,162,214,266,297,344,399,516,666,629,616,606,596,589,574,547,512,504,452,400,368,321,266,150,115194,56234.6954314721,64364.0672588832,69716.135786802,33963.1027918782,666,288,378,1906,1649,249,197,446,1203,1649,1368,1015,155,0,146,0,11,41,281,12,12,0,0,0,242,15,666,36,14,9,9,7,15,27,36,8,52,52,31,47,55,117,150
250173533003,15000US250173533003,"Block Group 3, Census Tract 3533, Middlesex County, Massachusetts","Block Group 3, Census Tract 3533, Middlesex County, Massachusetts",ma,150,00,ACSSF,0007242,,,,,25,017,,,,353300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,1620,16921.61,0.0957355786976619,0.1125916,0.09573558,0.01685606,1620,282,579,646,113,1620,1481,0,0,46,0,73,20,745,0,0,3,16,32,58,84,103,103,171,264,361,446,518,615,745,745,745,742,729,712,687,660,642,642,574,480,383,298,226,129,100953,59430.9993654822,56051.1453045685,,99643.6675126904,745,351,394,2017,1620,36,141,177,1443,1620,1527,1461,0,0,46,0,0,20,93,20,0,0,0,0,73,0,745,0,0,3,13,16,25,27,19,0,68,94,97,85,72,97,130
