Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_B01001_001,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14001A_001,SE_A14001A_002,SE_A14001A_003,SE_A14001A_004,SE_A14001A_005,SE_A14001A_006,SE_A14001A_007,SE_A14001A_008,SE_A14001A_009,SE_A14001A_010,SE_A14001A_011,SE_A14001A_012,SE_A14001A_013,SE_A14001A_014,SE_A14001A_015,SE_A14001A_016,SE_A14001B_001,SE_A14001B_002,SE_A14001B_003,SE_A14001B_004,SE_A14001B_005,SE_A14001B_006,SE_A14001B_007,SE_A14001B_008,SE_A14001B_009,SE_A14001B_010,SE_A14001B_011,SE_A14001B_012,SE_A14001B_013,SE_A14001B_014,SE_A14001B_015,SE_A14001B_016,SE_A14006_001,SE_A14024_001,SE_A14024I_001,SE_A14024D_001,SE_A14024H_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A18009_001,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
250173531021,15000US250173531021,"Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts","Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006667,,,,,25,017,,,,353102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261,1261,8864.43,0.1422539409449,0.2478849,0.1422539,0.105631,1261,65,1159,37,0,1261,551,16,0,656,0,15,23,166,6,8,11,23,57,67,76,87,92,92,140,159,159,165,166,166,160,158,155,142,109,98,90,79,74,74,26,7,7,1,0,43198,19971.170411985,16055.8895131086,24832.893258427,1626.38576779026,166,0,166,1425,412,62,206,268,144,1261,1207,535,16,0,656,0,0,0,54,16,0,0,0,0,15,23,166,6,2,3,12,34,10,8,11,5,0,48,19,0,6,1,0
250173531022,15000US250173531022,"Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts","Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006668,,,,,25,017,,,,353102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,1136,6427.05,0.176752942484676,0.342575,0.1767529,0.165822,1136,101,800,181,54,1136,652,4,0,480,0,0,0,507,29,40,49,64,100,133,148,148,148,164,232,334,341,383,444,507,478,467,458,442,407,374,359,359,359,342,274,172,166,124,62,80634,48810.2528089888,70905.936329588,22707.1348314607,5277.65917602996,507,0,507,2205,966,69,222,291,675,1136,1110,626,4,0,480,0,0,0,26,26,0,0,0,0,0,0,507,29,11,9,15,35,33,15,0,0,16,68,102,6,42,62,63
250173531023,15000US250173531023,"Block Group 3, Census Tract 3531.02, Middlesex County, Massachusetts","Block Group 3, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006669,,,,,25,017,,,,353102,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551,551,19826.66,0.0277908623514858,0.02779086,0.02779086,0,551,11,532,8,0,551,233,0,0,263,0,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12283.8202247191,10028.5486891386,13118.1835205993,14245.1966292135,0,0,0,,0,0,0,0,0,551,449,186,0,0,263,0,0,0,102,47,0,0,0,0,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250173532001,15000US250173532001,"Block Group 1, Census Tract 3532, Middlesex County, Massachusetts","Block Group 1, Census Tract 3532, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006670,,,,,25,017,,,,353200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,1669,20670.37,0.0807436173449452,0.08074362,0.08074362,0,1669,250,899,417,103,1669,839,347,0,209,0,154,120,815,71,92,99,112,135,145,183,247,302,363,438,585,667,691,725,815,743,723,715,702,679,670,631,567,513,452,375,229,147,123,89,70704,46483.9981273408,74100.1779026217,29928.7359550562,24758.1741573034,815,151,664,2309,1669,389,177,566,1103,1669,1475,798,347,0,209,0,9,112,194,41,0,0,0,0,145,8,815,71,21,8,13,23,10,38,64,54,62,75,147,82,24,34,90
250173532002,15000US250173532002,"Block Group 2, Census Tract 3532, Middlesex County, Massachusetts","Block Group 2, Census Tract 3532, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006671,,,,,25,017,,,,353200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,725,12465.75,0.05815934282321,0.05815934,0.05815934,0,725,55,251,318,101,725,433,168,0,104,0,0,20,426,14,22,37,67,87,96,126,164,165,199,229,261,322,361,377,426,411,403,389,359,339,330,300,262,261,227,197,164,103,65,49,66120,57229.8501872659,49635.8988764045,110541.928838951,35445.4962546816,426,177,249,1635,725,38,132,170,555,725,701,409,168,0,104,0,0,20,24,24,0,0,0,0,0,0,426,14,8,15,30,20,8,30,38,0,34,30,32,61,38,16,49
250173532003,15000US250173532003,"Block Group 3, Census Tract 3532, Middlesex County, Massachusetts","Block Group 3, Census Tract 3532, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006672,,,,,25,017,,,,353200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258,1258,21097.58,0.0596276893946999,0.06067364,0.05962769,0.001045951,1258,211,657,316,74,1258,1074,10,6,107,0,0,61,482,6,8,8,8,8,8,16,30,40,97,131,205,282,314,406,482,476,474,474,474,474,474,465,452,442,385,351,276,199,167,75,105506,50150.2153558052,54501.3576779026,31705.8052434457,30047.0411985019,482,246,236,1958,1150,40,100,140,1010,1258,1222,1065,10,6,107,0,0,34,36,9,0,0,0,0,0,27,482,6,2,0,0,0,0,8,14,9,58,34,74,78,32,92,76
250173533001,15000US250173533001,"Block Group 1, Census Tract 3533, Middlesex County, Massachusetts","Block Group 1, Census Tract 3533, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006673,,,,,25,017,,,,353300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,1420,39706.59,0.0357623278563453,0.03576233,0.03576233,0,1420,121,428,680,191,1420,1143,31,0,159,0,50,37,500,18,23,25,34,34,34,42,59,77,83,94,117,175,227,390,500,481,477,475,466,466,466,457,441,423,417,406,382,325,272,110,157221,59411.6479400749,62624.5692883895,59725.468164794,,500,243,257,2314,1420,165,88,253,1167,1420,1372,1124,31,0,159,0,21,37,48,19,0,0,0,0,29,0,500,18,5,2,9,0,0,8,17,18,6,11,23,58,53,162,110
250173533002,15000US250173533002,"Block Group 2, Census Tract 3533, Middlesex County, Massachusetts","Block Group 2, Census Tract 3533, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006674,,,,,25,017,,,,353300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1725,35093.04,0.0491550540002502,0.04915505,0.04915505,0,1725,150,850,698,27,1725,1076,155,0,131,0,240,123,745,36,49,58,64,72,88,110,137,161,210,286,368,409,486,609,745,709,695,687,681,673,657,634,608,584,535,459,377,335,258,135,103380,55493.8764044944,62899.7846441948,78676.7228464419,34929.9344569288,745,255,490,1838,1725,214,165,379,1346,1725,1442,1044,144,0,131,0,11,112,283,32,11,0,0,0,229,11,745,36,13,8,6,8,16,23,26,24,50,76,82,41,77,123,136
250173533003,15000US250173533003,"Block Group 3, Census Tract 3533, Middlesex County, Massachusetts","Block Group 3, Census Tract 3533, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006675,,,,,25,017,,,,353300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224,1224,12439.02,0.0984000698072732,0.1177994,0.09840007,0.01939932,1224,194,435,490,105,1224,1149,38,0,10,0,10,17,612,0,9,25,38,85,118,137,145,145,170,255,330,407,458,499,612,612,603,587,574,527,494,475,467,466,441,357,281,205,154,112,92154,58095.3464419476,56523.7546816479,,61863.6797752809,612,227,385,1665,1224,31,173,204,1020,1224,1141,1114,0,0,10,0,0,17,83,35,38,0,0,0,10,0,612,0,9,16,12,47,33,19,8,0,25,84,76,76,51,41,113
250173534001,15000US250173534001,"Block Group 1, Census Tract 3534, Middlesex County, Massachusetts","Block Group 1, Census Tract 3534, Middlesex County, Massachusetts",ma,150,00,ACSSF,0006676,,,,,25,017,,,,353400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603,1603,26072.29,0.0614829103455306,0.06937793,0.06148291,0.007895017,1603,193,864,442,104,1603,881,263,86,317,0,0,56,644,42,74,106,106,131,137,141,154,185,257,330,385,438,507,558,644,601,569,538,537,513,507,503,489,458,387,313,258,205,136,85,69342,41177.6966292135,51848.829588015,25690.9176029963,20553.9794007491,644,205,439,1824,1603,263,242,505,1098,1603,1493,857,263,0,317,0,0,56,110,24,0,86,0,0,0,0,644,42,32,32,0,25,6,4,13,30,73,73,54,53,70,51,86
