Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_B01001_001,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14001A_001,SE_A14001A_002,SE_A14001A_003,SE_A14001A_004,SE_A14001A_005,SE_A14001A_006,SE_A14001A_007,SE_A14001A_008,SE_A14001A_009,SE_A14001A_010,SE_A14001A_011,SE_A14001A_012,SE_A14001A_013,SE_A14001A_014,SE_A14001A_015,SE_A14001A_016,SE_A14001B_001,SE_A14001B_002,SE_A14001B_003,SE_A14001B_004,SE_A14001B_005,SE_A14001B_006,SE_A14001B_007,SE_A14001B_008,SE_A14001B_009,SE_A14001B_010,SE_A14001B_011,SE_A14001B_012,SE_A14001B_013,SE_A14001B_014,SE_A14001B_015,SE_A14001B_016,SE_A14006_001,SE_A14024_001,SE_A14024I_001,SE_A14024D_001,SE_A14024H_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A18009_001,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_B14001_001,SE_B14001_002,SE_B14001_003,SE_B14001_004,SE_B14001_005,SE_B14001_006
250173531021,15000US250173531021,"Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts","Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,0,ACSSF,4838,,,,,25,17,,,,353102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2193,2193,15267.04,0.143642750468342,0.247812,0.1436428,0.1041692,2193,74,2066,53,0,2193,1267,130,0,556,0,34,206,10,0,0,0,0,0,0,0,5,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10,5,4,3,0,0,0,0,0,44790,13054.1272570937,12468.6070507309,13930.1203783319,18266.6294067068,10,0,10,,31,0,15,15,16,2193,2023,1141,130,0,556,0,0,196,170,126,0,0,0,0,34,10,10,0,6,4,0,0
250173531022,15000US250173531022,"Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts","Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,0,ACSSF,4839,,,,,25,17,,,,353102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445,1445,8175.289,0.176752170280326,0.3424298,0.1767522,0.1656776,1445,15,1328,70,32,1445,772,42,2,545,0,10,74,248,12,35,50,54,62,77,81,81,85,90,102,133,164,200,218,248,236,213,198,194,186,170,167,167,163,158,145,114,83,48,30,88797,23708.9939810834,21940.9974204643,27843.086844368,12540.6534823732,248,0,248,2936,545,230,46,276,269,1445,1354,713,42,2,545,0,0,52,91,59,0,0,0,0,10,22,248,54,31,17,31,115
250173531023,15000US250173531023,"Block Group 3, Census Tract 3531.02, Middlesex County, Massachusetts","Block Group 3, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,0,ACSSF,4840,,,,,25,17,,,,353102,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1284,1284,46203.52,0.0277900901471358,0.02779009,0.02779009,0,1284,7,1261,16,0,1284,703,72,0,356,0,84,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6071.34135855546,4406.26827171109,8905.16766981943,5282.26139294927,0,0,0,,0,0,0,0,0,1284,1122,626,72,0,356,0,12,56,162,77,0,0,0,0,72,13,0,0,0,0,0,0
250173532001,15000US250173532001,"Block Group 1, Census Tract 3532, Middlesex County, Massachusetts","Block Group 1, Census Tract 3532, Middlesex County, Massachusetts",ma,150,0,ACSSF,4841,,,,,25,17,,,,353200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054,3054,37821.43,0.0807478644688701,0.08074787,0.08074787,0,3054,265,2110,582,97,3054,1777,262,0,771,0,67,177,766,8,52,82,89,101,123,134,142,156,187,254,313,397,496,600,766,758,713,683,677,664,642,632,624,609,578,512,452,368,269,165,124304,47308.2029234738,64032.1238177128,34138.5726569218,26254.6345657782,766,185,581,2421,1741,225,139,364,1377,3054,2759,1633,252,0,759,0,0,115,295,144,10,0,12,0,67,62,766,90,67,98,59,454
250173532002,15000US250173532002,"Block Group 2, Census Tract 3532, Middlesex County, Massachusetts","Block Group 2, Census Tract 3532, Middlesex County, Massachusetts",ma,150,0,ACSSF,4842,,,,,25,17,,,,353200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015,1015,17452.52,0.05815779841451,0.0581578,0.0581578,0,1015,87,459,271,198,1015,736,159,0,60,0,0,60,460,73,125,162,185,207,220,220,236,252,271,319,388,402,412,429,460,386,334,298,275,253,240,240,223,208,189,140,72,57,48,30,43171,31389.3723129837,38230.3525365434,,12501.7712811694,460,176,284,757,868,261,115,376,492,1015,965,718,127,0,60,0,0,60,50,18,32,0,0,0,0,0,460,185,67,67,68,73
250173532003,15000US250173532003,"Block Group 3, Census Tract 3532, Middlesex County, Massachusetts","Block Group 3, Census Tract 3532, Middlesex County, Massachusetts",ma,150,0,ACSSF,4843,,,,,25,17,,,,353200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109,1109,18596.81,0.0596338670294998,0.06077403,0.05963387,0.00114016,1109,131,549,349,80,1109,856,121,0,71,0,0,61,469,0,13,25,33,41,50,57,57,57,86,113,168,206,263,382,469,469,456,444,436,428,419,412,412,412,383,355,301,262,205,86,145839,58936.2682717111,64113.3190025795,64743.4393809114,,469,307,162,2031,1079,81,37,118,961,1109,1100,847,121,0,71,0,0,61,9,9,0,0,0,0,0,0,469,33,24,57,54,302
250173533001,15000US250173533001,"Block Group 1, Census Tract 3533, Middlesex County, Massachusetts","Block Group 1, Census Tract 3533, Middlesex County, Massachusetts",ma,150,0,ACSSF,4844,,,,,25,17,,,,353300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106,1106,30926.4,0.0357623278563453,0.03576233,0.03576233,0,1106,134,416,366,190,1106,759,50,0,219,0,9,69,452,9,21,32,37,42,56,56,64,72,110,172,206,246,297,337,452,443,431,420,415,410,396,396,388,380,342,280,246,205,154,115,115919,65937.3516766982,73577.7042132416,56387.1969045572,,452,266,186,2615,1106,117,36,153,953,1106,1090,743,50,0,219,0,9,69,16,16,0,0,0,0,0,0,452,37,36,99,35,246
250173533002,15000US250173533002,"Block Group 2, Census Tract 3533, Middlesex County, Massachusetts","Block Group 2, Census Tract 3533, Middlesex County, Massachusetts",ma,150,0,ACSSF,4845,,,,,25,17,,,,353300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,1431,29111.96,0.0491550540002502,0.04915505,0.04915505,0,1431,229,660,397,145,1431,1066,193,0,125,0,0,47,704,25,54,79,115,160,166,166,175,188,192,219,319,407,475,558,704,678,650,625,589,544,538,538,528,516,512,485,384,296,229,145,106855,77661.4789337919,88566.7927773001,116520.808254514,26641.1693895099,704,312,392,1805,1431,146,167,313,1118,1431,1304,967,193,0,125,0,0,19,127,99,0,0,0,0,0,28,704,115,73,31,100,385
250173533003,15000US250173533003,"Block Group 3, Census Tract 3533, Middlesex County, Massachusetts","Block Group 3, Census Tract 3533, Middlesex County, Massachusetts",ma,150,0,ACSSF,4846,,,,,25,17,,,,353300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,1025,10417.27,0.0983942782746484,0.1177747,0.09839427,0.0193804,1025,161,356,367,141,1025,933,12,0,43,0,0,37,453,8,9,9,42,99,99,99,106,114,140,164,219,264,294,327,453,445,444,444,410,354,354,354,347,339,312,289,233,189,159,126,100243,61858.1513327601,63478.6242476354,38382.4505588994,,453,206,247,2172,1025,34,258,292,733,1025,1010,918,12,0,43,0,0,37,15,15,0,0,0,0,0,0,453,42,72,50,56,234
250173534001,15000US250173534001,"Block Group 1, Census Tract 3534, Middlesex County, Massachusetts","Block Group 1, Census Tract 3534, Middlesex County, Massachusetts",ma,150,0,ACSSF,4847,,,,,25,17,,,,353400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1360,22120.25,0.0614821381411806,0.06937715,0.06148214,0.007895017,1360,302,582,402,74,1360,712,404,9,131,0,52,52,501,5,11,14,30,60,73,73,85,106,154,233,330,391,409,445,501,496,490,487,471,441,428,428,416,395,346,267,170,110,91,55,76656,50543.4307824592,74857.3860705073,34254.0756663801,31512.8804815133,501,234,267,2300,1360,147,266,413,947,1360,1193,643,372,9,131,0,0,38,167,69,32,0,0,0,52,14,501,30,76,128,97,171
