Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_B01001_001,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A14001A_001,SE_A14001A_002,SE_A14001A_003,SE_A14001A_004,SE_A14001A_005,SE_A14001A_006,SE_A14001A_007,SE_A14001A_008,SE_A14001A_009,SE_A14001A_010,SE_A14001A_011,SE_A14001A_012,SE_A14001A_013,SE_A14001A_014,SE_A14001A_015,SE_A14001A_016,SE_A14001B_001,SE_A14001B_002,SE_A14001B_003,SE_A14001B_004,SE_A14001B_005,SE_A14001B_006,SE_A14001B_007,SE_A14001B_008,SE_A14001B_009,SE_A14001B_010,SE_A14001B_011,SE_A14001B_012,SE_A14001B_013,SE_A14001B_014,SE_A14001B_015,SE_A14001B_016,SE_B14001_001,SE_B14001_002,SE_B14001_003,SE_B14001_004,SE_B14001_005,SE_B14001_006,SE_A14006_001,SE_A14024_001,SE_A14024I_001,SE_A14024D_001,SE_A14024H_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A18009_001,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_A10066_001,SE_A10066_002,SE_A10066_003,SE_A10066_004,SE_A10066_005,SE_A10066_006,SE_A10066_007,SE_A10066_008
250173531021,15000US250173531021,Block Group 1,"Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,0,ACSSF,4835,,,,,25,17,,,,353102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199,2199,15458.27,0.1422539409449,0.2478849,0.1422539,0.105631,2199,80,1968,151,0,2199,1312,93,11,613,7,22,141,2199,1915,1112,59,0,613,7,0,124,284,10,5,5,5,5,5,5,5,5,5,5,5,5,5,8,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0,10,5,0,0,0,5,,14248.4860557769,11321.4262948207,21335.1075697211,14550.5179282869,10,0,10,,35,15,0,15,20,10,0,0,5,5,0,0,0
250173531022,15000US250173531022,Block Group 2,"Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,0,ACSSF,4836,,,,,25,17,,,,353102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332,1332,7535.942,0.176752942484676,0.342575,0.1767529,0.165822,1332,10,1210,98,14,1332,651,50,0,520,0,19,92,1332,1211,574,35,0,520,0,12,70,121,234,10,15,19,20,23,25,25,40,58,70,86,119,151,172,207,234,224,219,215,214,211,209,209,193,176,164,147,115,83,62,27,234,19,37,30,33,115,96261,31442.0478087649,33669.6653386454,29393.5298804781,29307.6892430279,234,0,234,3423,527,89,63,152,375,234,68,101,51,10,4,0,0
250173531023,15000US250173531023,Block Group 3,"Block Group 3, Census Tract 3531.02, Middlesex County, Massachusetts",ma,150,0,ACSSF,4837,,,,,25,17,,,,353102,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357,1357,48829,0.0277908623514858,0.02779086,0.02779086,0,1357,8,1345,4,0,1357,772,89,9,369,0,34,84,1357,1207,674,73,9,369,0,8,74,150,4,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,4,0,4,0,0,0,,10602.9083665339,10592.3107569721,12943.9203187251,7570.93227091633,4,0,4,,4,0,0,0,4,4,4,0,0,0,0,0,0
250173532001,15000US250173532001,Block Group 1,"Block Group 1, Census Tract 3532, Middlesex County, Massachusetts",ma,150,0,ACSSF,4838,,,,,25,17,,,,353200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2638,2638,32671.31,0.0807436173449452,0.08074362,0.08074362,0,2638,159,1944,474,61,2638,1608,94,0,780,0,41,115,2638,2286,1369,78,0,773,0,0,66,352,698,0,31,37,55,66,68,100,142,160,185,209,250,299,353,440,698,698,667,661,643,632,630,597,555,538,513,488,447,398,345,257,698,58,93,55,44,448,145055,64505.5298804781,77407.0597609562,51166.3187250996,58463.8326693227,698,178,520,2820,1520,82,105,187,1333,698,268,214,147,47,12,10,0
250173532002,15000US250173532002,Block Group 2,"Block Group 2, Census Tract 3532, Middlesex County, Massachusetts",ma,150,0,ACSSF,4839,,,,,25,17,,,,353200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,1345,23126.12,0.05815934282321,0.05815934,0.05815934,0,1345,148,443,462,292,1345,960,143,0,201,0,11,30,1345,1229,855,143,0,201,0,0,30,116,622,78,159,205,240,271,285,287,287,298,331,351,377,391,435,491,622,543,462,417,381,351,337,335,335,324,291,271,245,231,186,131,622,236,69,43,29,245,52105,57042.6932270916,67793.96812749,39821.577689243,66500,622,154,468,,1201,245,142,387,814,622,385,72,65,90,10,0,0
250173532003,15000US250173532003,Block Group 3,"Block Group 3, Census Tract 3532, Middlesex County, Massachusetts",ma,150,0,ACSSF,4840,,,,,25,17,,,,353200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236,1236,20728.63,0.0596276893946999,0.06067364,0.05962769,0.001045951,1236,203,534,387,112,1236,667,268,0,153,73,0,75,1236,1232,663,268,0,153,73,0,75,4,500,34,51,64,106,129,132,132,137,143,150,192,257,303,340,388,500,466,449,436,393,371,368,368,362,357,350,308,242,196,159,112,500,115,26,56,61,243,94054,52303.4422310757,78829.2589641434,41573.3625498008,,500,203,297,2170,1210,326,84,410,800,500,157,172,101,52,0,0,18
250173533001,15000US250173533001,Block Group 1,"Block Group 1, Census Tract 3533, Middlesex County, Massachusetts",ma,150,0,ACSSF,4841,,,,,25,17,,,,353300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319,1319,36882.39,0.0357623278563453,0.03576233,0.03576233,0,1319,138,684,319,178,1319,756,73,0,290,0,63,137,1319,1185,678,72,0,290,0,8,137,134,539,0,7,9,9,9,14,27,47,60,71,90,168,235,313,386,539,539,531,530,530,530,525,512,492,479,468,448,370,303,225,152,539,8,45,36,78,371,133383,69515.0199203187,81651.4023904382,78986.1035856574,46754.5338645418,539,218,321,2756,1319,107,27,134,1185,539,138,231,93,35,29,13,0
250173533002,15000US250173533002,Block Group 2,"Block Group 2, Census Tract 3533, Middlesex County, Massachusetts",ma,150,0,ACSSF,4842,,,,,25,17,,,,353300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1949,39650.04,0.0491550540002502,0.04915505,0.04915505,0,1949,504,536,757,152,1949,1534,75,0,258,0,0,82,1949,1696,1301,65,0,258,0,0,72,253,801,32,73,88,102,107,107,107,113,122,132,180,310,387,458,605,801,769,728,713,699,694,694,694,688,678,669,621,490,413,342,194,801,101,24,61,124,491,123954,71297.5378486056,83285.5537848606,69772.5418326693,43461.8565737052,801,553,248,2325,1949,189,109,298,1651,801,212,258,180,128,23,0,0
250173533003,15000US250173533003,Block Group 3,"Block Group 3, Census Tract 3533, Middlesex County, Massachusetts",ma,150,0,ACSSF,4843,,,,,25,17,,,,353300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184,1184,12032.51,0.0984000698072732,0.1177994,0.09840007,0.01939932,1184,181,470,431,102,1184,989,43,0,90,0,0,62,1184,1151,956,43,0,90,0,0,62,33,503,11,12,12,34,43,48,63,77,82,82,120,190,238,278,348,503,492,491,491,469,460,455,440,426,421,421,383,312,264,225,154,503,40,37,49,64,313,132635,82703.7450199203,85561.9203187251,91259.1952191235,131117.864541833,503,216,287,2637,1184,48,102,150,1034,503,120,205,126,22,30,0,0
250173534001,15000US250173534001,Block Group 1,"Block Group 1, Census Tract 3534, Middlesex County, Massachusetts",ma,150,0,ACSSF,4844,,,,,25,17,,,,353400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,1360,22119.97,0.0614829103455306,0.06937793,0.06148291,0.007895017,1360,261,586,355,158,1360,772,423,15,74,0,18,58,1360,1290,720,423,15,74,0,18,40,70,509,23,24,39,55,60,131,184,200,213,229,248,279,305,366,419,509,486,485,470,454,449,376,325,309,296,280,260,229,203,142,89,509,56,138,52,33,230,82366,46842.4940239044,64150.5099601594,19851.4422310757,25795.6414342629,509,205,304,1844,1360,233,272,505,855,509,44,240,131,69,25,0,0
