Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A00003_001,SE_A00003_002,SE_A00003_003,SE_B01001_001,SE_B01001_002,SE_B01001_003,SE_B01001_004,SE_B01001_005,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,SE_A14001A_001,SE_A14001A_002,SE_A14001A_003,SE_A14001A_004,SE_A14001A_005,SE_A14001A_006,SE_A14001A_007,SE_A14001A_008,SE_A14001A_009,SE_A14001A_010,SE_A14001A_011,SE_A14001A_012,SE_A14001A_013,SE_A14001A_014,SE_A14001A_015,SE_A14001A_016,SE_A14001B_001,SE_A14001B_002,SE_A14001B_003,SE_A14001B_004,SE_A14001B_005,SE_A14001B_006,SE_A14001B_007,SE_A14001B_008,SE_A14001B_009,SE_A14001B_010,SE_A14001B_011,SE_A14001B_012,SE_A14001B_013,SE_A14001B_014,SE_A14001B_015,SE_A14001B_016,SE_B14001_001,SE_B14001_002,SE_B14001_003,SE_B14001_004,SE_B14001_005,SE_B14001_006,SE_A14006_001,SE_A14024_001,SE_A14024I_001,SE_A14024D_001,SE_A14024H_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A18009_001,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005,SE_A10066_001,SE_A10066_002,SE_A10066_003,SE_A10066_004,SE_A10066_005,SE_A10066_006,SE_A10066_007,SE_A10066_008
250173531021,"Block Group 1, Census Tract 3531.02, Middlesex County, Massachusetts",ACSSF,ma,150,0,5030,,,,,25,17,,,353102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173531021,Block Group 1,,,,892,892,9538.054,0.0935201244175649,0.1874777,0.09352013,0.09395758,892,8,781,80,23,892,436,40,0,349,0,20,47,892,828,398,33,0,349,0,12,36,64,242,9,21,23,23,27,28,28,43,56,80,109,142,170,184,207,242,232,221,219,219,215,214,214,198,186,162,133,100,71,58,34,242,22,33,52,35,100,82864,42132.5996852046,44479.2890870934,42698.8614900315,37777.3032528856,242,0,242,3405,510,91,59,150,360,242,77,110,42,9,4,0,0
250173531022,"Block Group 2, Census Tract 3531.02, Middlesex County, Massachusetts",ACSSF,ma,150,0,5031,,,,,25,17,,,353102,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173531022,Block Group 2,,,,1804,1804,12547.74,0.143770936390439,0.2618456,0.1437709,0.1180747,1804,9,1791,4,0,1804,1001,121,10,539,0,25,108,1804,1620,888,93,10,539,0,9,81,184,4,0,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,4,0,4,0,0,0,,9503.98740818468,9940.45907660021,9351.16998950682,9614.9370409234,4,0,4,,4,0,0,0,4,4,4,0,0,0,0,0,0
250173531023,"Block Group 3, Census Tract 3531.02, Middlesex County, Massachusetts",ACSSF,ma,150,0,5032,,,,,25,17,,,353102,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173531023,Block Group 3,,,,2221,2221,15582.47,0.142531934510893,0.1898403,0.1425319,0.04730833,2221,76,2008,137,0,2221,1324,172,12,580,12,13,108,2221,1975,1160,131,0,580,12,0,92,246,10,5,5,5,5,5,5,5,5,5,5,5,5,5,9,10,10,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,10,5,0,0,0,5,,18415.5456453305,10614.5304302204,22015.1285414481,13502.3609653725,10,0,10,,34,15,0,15,19,10,0,0,5,5,0,0,0
250173532001,"Block Group 1, Census Tract 3532, Middlesex County, Massachusetts",ACSSF,ma,150,0,5033,,,,,25,17,,,353200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173532001,Block Group 1,,,,1364,1364,27749.58,0.0491538956937252,0.04915389,0.04915389,0,1364,226,327,526,285,1364,1073,139,0,133,0,0,19,1364,1231,940,139,0,133,0,0,19,133,694,58,117,197,228,246,251,251,251,266,315,342,394,410,446,497,694,635,576,497,466,448,443,443,443,428,379,352,300,284,248,196,694,221,53,63,57,300,78876,71122.9013641133,79426.3300104932,55656.9412381952,94599.2156348374,694,238,456,,1356,159,150,309,1047,694,369,113,88,117,7,0,0
250173532002,"Block Group 2, Census Tract 3532, Middlesex County, Massachusetts",ACSSF,ma,150,0,5034,,,,,25,17,,,353200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173532002,Block Group 2,,,,1342,1342,19552.03,0.0686373836481096,0.06975515,0.06863739,0.001117766,1342,155,643,456,88,1342,584,334,0,272,63,12,77,1342,1302,556,334,0,272,63,0,77,40,560,24,97,112,142,185,197,197,201,203,203,235,293,346,381,433,560,536,462,448,417,375,363,363,359,357,357,324,266,214,178,127,560,143,55,41,54,267,100557,60382.7675760755,73976.1909758657,37856.85204617,10555.9155299056,560,155,405,1623,1178,341,50,391,787,560,296,86,126,39,0,0,13
250173532003,"Block Group 3, Census Tract 3532, Middlesex County, Massachusetts",ACSSF,ma,150,0,5035,,,,,25,17,,,353200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173532003,Block Group 3,,,,969,969,36626.17,0.0264564932347177,0.02645649,0.02645649,0,969,134,437,342,56,969,816,0,7,99,0,37,10,969,870,737,0,7,99,0,17,10,99,428,0,8,9,9,13,15,28,47,56,68,79,98,128,157,222,428,428,420,419,419,415,413,400,380,372,359,349,330,299,271,206,428,9,43,26,21,330,190440,107329.115949633,112585.616474292,79016.0257082896,118884.624868835,428,197,231,2565,969,46,46,92,877,428,144,140,87,37,20,0,0
250173532004,"Block Group 4, Census Tract 3532, Middlesex County, Massachusetts",ACSSF,ma,150,0,5036,,,,,25,17,,,353200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173532004,Block Group 4,,,,1643,1643,30262.85,0.0542909851319774,0.05429098,0.05429098,0,1643,20,1503,120,0,1643,915,71,0,568,0,8,81,1643,1514,802,71,0,568,0,0,73,129,257,0,7,8,20,23,23,38,52,67,80,82,95,113,139,197,257,257,250,249,237,234,234,218,205,190,177,175,162,143,118,59,257,22,49,10,14,162,137706,36558.9506820567,37066.5975865687,37767.8830010493,36624.8924449108,257,0,257,3309,482,10,44,54,428,257,95,113,40,9,0,0,0
250173533001,"Block Group 1, Census Tract 3533, Middlesex County, Massachusetts",ACSSF,ma,150,0,5037,,,,,25,17,,,353300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173533001,Block Group 1,,,,1060,1060,29640.13,0.0357623278563453,0.03576233,0.03576233,0,1060,111,382,363,204,1060,709,117,0,58,0,47,129,1060,935,633,115,0,58,0,0,129,125,520,0,9,36,42,42,47,61,82,93,99,135,206,268,313,410,520,520,510,483,478,478,472,459,437,427,421,385,314,252,206,109,520,40,49,49,68,314,127729,72577.8069254984,85220.8315844701,127682.093389297,43058.9244491081,520,277,243,2446,1060,48,87,135,925,520,170,248,68,20,0,14,0
250173533002,"Block Group 2, Census Tract 3533, Middlesex County, Massachusetts",ACSSF,ma,150,0,5038,,,,,25,17,,,353300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173533002,Block Group 2,,,,1939,1939,39446.61,0.0491550540002502,0.04915505,0.04915505,0,1939,391,640,752,156,1939,1373,134,0,295,0,35,102,1939,1672,1155,120,0,295,0,0,102,267,827,52,86,114,125,127,134,138,153,168,178,208,339,434,507,630,827,774,741,713,702,700,692,689,673,659,649,619,486,392,319,195,827,121,47,42,129,488,109772,66314.3861490031,79604.2681007345,69811.3929695698,46919.1343126967,827,476,351,2143,1939,218,89,307,1632,827,240,263,190,123,11,0,0
250173533003,"Block Group 3, Census Tract 3533, Middlesex County, Massachusetts",ACSSF,ma,150,0,5039,,,,,25,17,,,353300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US250173533003,Block Group 3,,,,1457,1457,14807.77,0.0983942782746484,0.1266666,0.09839427,0.02827233,1457,260,446,571,180,1457,936,39,0,311,0,0,171,1457,1316,895,39,0,311,0,0,71,141,609,9,9,9,16,18,24,32,47,56,56,91,140,180,300,410,609,600,600,600,593,591,585,577,561,553,553,517,469,428,307,198,609,17,35,43,44,469,148561,82600.9548793284,94691.3247639035,85846.7549842602,37970.9417628541,609,349,260,2702,1457,80,62,142,1315,609,87,179,191,125,27,0,0
